Newick_label	GD	NUM	GD_ratio	AABB	AXBB	AABX	Complex
S0	4	96	4.17%	4	0	0	0
S1	36	162	22.22%	36	0	0	0
S2	7	107	6.54%	7	0	0	0
S3	2	129	1.55%	2	0	0	0
S4	0	63	0.00%	0	0	0	0
S5	1	128	0.78%	1	0	0	0
S6	0	120	0.00%	0	0	0	0
S7	0	140	0.00%	0	0	0	0
S8	0	61	0.00%	0	0	0	0
S9	0	52	0.00%	0	0	0	0
S10	4	235	1.70%	4	0	0	0
S11	3	140	2.14%	3	0	0	0
S12	2	237	0.84%	2	0	0	0
S13	64	238	26.89%	64	0	0	0
S14	43	191	22.51%	39	3	1	0
S15	4	180	2.22%	3	0	1	0
S16	0	93	0.00%	0	0	0	0
S17	0	161	0.00%	0	0	0	0
S18	0	85	0.00%	0	0	0	0
S19	18	184	9.78%	14	1	3	0
S20	3	119	2.52%	0	0	3	0
S21	0	73	0.00%	0	0	0	0
S22	1	123	0.81%	1	0	0	0
S23	0	69	0.00%	0	0	0	0
S24	11	138	7.97%	7	0	3	1
S25	17	100	17.00%	8	1	5	3
S26	1	68	1.47%	1	0	0	0
S27	10	97	10.31%	5	2	2	1
S28	3	100	3.00%	2	1	0	0
